name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
American Robin,"['Central-America', 'Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,Unknown,310 million,pesticides,orange chest,Unknown,Unknown,"woodland, shrubland, and residential",Omnivore,Unknown,Unknown,American robin,7.0,North America,Unknown,Unknown,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,Unknown,Unknown,3-5,"birds of prey, snakes, and cats",bird,Unknown,Unknown,Unknown,Unknown,12-16in,12-14 days,Unknown,Unknown,Unknown,Unknown,Unknown,tree forks and dense shrubs,Unknown,Unknown,Unknown,1.0,1,0,0
Chinese Geese,"['Asia', 'Eurasia']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser cygnoides domesticus,none,gosling,Family units,60-90 thousand,predators,"Long, arched neck and raised knob",Swan goose,28-35 days,farms,Herbivore,Unknown,Unknown,Chinese goose,Unkown,"Kazakhstan, Mongolia, Russia, Japan, South Korea, North Korea, China, Turkmenistan, Laos, Uzbekistan, Taiwan, and Thailand",Unknown,gaggle or flock,BrownWhite,Feathers,Unknown,15-20 years,Unknown,1-2 feet,2 years,12 weeks,10-15,"Snakes, rats, raccoons, coyotes, and foxes",waterfowl,2-3 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0
Griffon Vulture,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Sheep, cows, other mammals",Unknown,Unknown,"80,000-900,000",Poisoning of livestock,Finger-shaped feathers,Eurasian griffon,Unknown,"Mountains, shrublands, cliffs",Carnivore,Unknown,Unknown,Griffon vulture,3.0,"Africa, Asia, Europe",Unknown,Unknown,BrownWhite,Feathers,46 mph,Up to 37 years,13lbs - 24lbs,37in – 48 in,Unknown,Unknown,1,Humans,Bird,Unknown,Unknown,Unknown,Unknown,8-9 feet,55 days,Unknown,1.0,Unknown,Unknown,Unknown,Cliff areas,3.5 months,Unknown,Unknown,1.0,0,1,0
Ruby-Throated Hummingbird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,"Dragonflies, birds, snakes",Unknown,Unknown,7 million,Habitat loss,Male’s ruby-red throat,Eastern hummingbird,Unknown,Open woodlands,Herbivore,Unknown,Unknown,Hummingbird,1.0,Eastern United States and Caribbean,Unknown,Unknown,GreyWhiteGreen,Feathers,40 mph,3-5 years,0.11 ounces,2.3 - 3.5 inches,Unknown,Unknown,2,"Hawks, owls, crows, roadrunners",Bird,3.5 inches,Unknown,Unknown,Unknown,4 – 4.75 inches,11-16 days,Unknown,Unknown,Unknown,Unknown,Unknown,Tree or large shrub,12 months,Nectar,Unknown,1.0,1,0,0
Falcon,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,High areas like mountains and cliffs,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,The fastest creatures on the planet!,Unknown,BrownGreyYellowBlackWhite,Feathers,200 mph,12 - 18 years,0.7kg - 1.2kg (1.5lbs - 2.6lbs),Unknown,Unknown,Unknown,Unknown,"Human, Eagles, Owls, Wolves",Bird,22cm - 40cm (9in - 19in),"Sharp, pointed beak and aerodynamic body shape",Unknown,Unknown,74 to 120 cm,Approximately one month,Unknown,3.0,"Birds, Rabbits, Bats",Unknown,Unknown,"Tree holes, cliffs, and ledges",Varies with each species,Birds,Unknown,1.0,1,0,0
Mississippi Kite,['North-America'],Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Ictinia mississippiensis,"Insects, rodents, snakes, birds, bats, frogs, and turtles",Unknown,Unknown,"300,000","Habitat loss, poisoning, and hunting",The red eyes,"Mosquito hawk, blue snake-hawk, and hovering kite",Unknown,"Hardwood forests, prairies, and urban environments",Carnivore,Unknown,Unknown,Mississippi Kite,1.0,"United States, Central and South America",Unknown,Unknown,GreyYellowBlackWhite,Feathers,Unknown,8 years,198-397g (7-14oz),Unknown,Unknown,Unknown,Unknown,"Raccoons, snakes, crows, owls, and other birds of prey",Bird,33-38cm (13-15in),Unknown,Unknown,Unknown,3 feet,29-32 days,Unknown,Unknown,Unknown,Unknown,Unknown,Trees,25-30 days,Unknown,Unknown,1.0,1,0,0
Burrowing Owl,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,"Insects, rodents, reptiles, amphibians, birds, and earthworms",owlet,Unknown,about 2 milion,habitat loss,The barred chest patterns,Unknown,Unknown," Grasslands, deserts, prairies, and agricultural lands",Carnivore,Unknown,Unknown,Burrowing owl,1.0,"parts of the Unite States, South America, and Central America",Unknown,Unknown,BrownWhite,Feathers,Unknown,6-11 years,122-255 grams,Unknown,Unknown,Unknown,Unknown,"Birds of prey, bobcats, cougars, coyotes, foxes, and more",Bird,7-10 inches,Unknown,Unknown,Unknown,Unknown,28-30 days,Unknown,Unknown,Unknown,Unknown,Unknown,Ground burrows,44-53 days,Unknown,Unknown,1.0,1,0,0
Goose,"['Asia', 'Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Anseriformes,Anatidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Large ponds, rivers and lake shores",Omnivore,Unknown,Flock,Unknown,Unkown,Unknown,There are 29 different species!,Unknown,BrownGreyBlackWhite,Feathers,55 mph,12 - 26 years,1.5kg - 8kg (3.3lbs - 17lbs),60cm - 120cm (23.6in - 50in),Unknown,Unknown,Unknown,Unknown,Bird,Unknown,Long neck and noisy communication calls,Unknown,Unknown,4.2 to 6.1 feet,1 month,Unknown,5.0,"Grass, Seeds, Berries",Unknown,Unknown,Ground,A few months,Grass,Unknown,1.0,1,0,0
Red-Billed Quelea Bird,['Africa'],Animalia,Chordata,Aves,Passeriformes,Ploceidae,Quelea,Quelea quelea,Insects,Hatchling,Flock,Over 1 billion,Humans,Bright red bill,"Weaver bird, red-billed dioch",10 to 12 days,"Forest, shrublands, farms",Omnivore,Unknown,Unknown,Quelea bird,1.0,Africa,Unknown,"Flock, colony",BrownRedPurple,Feathers,25 mph,2 years,1 ounce,10 to 12 inches,1 year,10 days,1-5,Humans,Bird,2 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1
Eastern Phoebe,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,"Wasps, bees, flies, grasshoppers, bees, spiders, millipedes, ticks, and other insects.",Unknown,Unknown,"Approximately 32 million, as of 2015.","Brown-headed cowbird, which replaces the egg’s in the Eastern phoebe’s nest with their own.",Wags its tail as it sits.,Unknown,Unknown,"Forests, swamps, marshes, gardens, streams, and other agricultural areas",Omnivore,Unknown,Unknown,Eastern phoebe,1.0,Southeastern United States and northern Mexico,Unknown,Unknown,CreamGrey-Brown,Feathers,Unknown,up to 10 years,0.6 to 0.7 ounces,5.5 to 6.7 inches,Unknown,Unknown,2-6,"Snakes, chipmunks, mice, house wrens, crows, and jays, which predominantly go after the eggs.",Bird,Up to 7.5 inches,Unknown,Unknown,Unknown,10.2 to 11 inches,16 days,Unknown,Unknown,Unknown,Unknown,Unknown,"Under bridges, in barns, and other areas with shelter above and support below.",Only during the first breeding,Unknown,Unknown,1.0,1,0,0
Mourning Dove,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura,Unknown,Unknown,Unknown,475 million,Cats,"Can be identified by silhouette, whether perched or in-flight","Rain dove, turtle dove",Unknown,Unknown,Herbivore,Unknown,Unknown,American mourning dove,5.0,"southwestern US, Mexico, southern Canada, Panama",Unknown,Unknown,Grey-Brown,Unknown,55 mph,"1.5-5 years in the wild, up to 19 years in captivity",96–170 g (3.4–6.0 oz),22.5-36 cm (8.9-14.2in),Unknown,Unknown,Unknown,"Diurnal birds of prey, cats",Neoavian,Unknown,Unknown,Unknown,Unknown,37-45cm (14.6-17.7in),14 days/2 weeks,Unknown,Unknown,Unknown,Unknown,Unknown,"Trees, shrubs, vines, buildings, hanging flower pots, ground",3 months,Seeds,Unknown,1.0,1,0,0
Emperor Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,"Fish, Krill, Squid",Chick,Colony,"200,000 breeding pairs",Global warming,Bright yellow feathers on neck and ears,Unknown,Unknown,Compact sea-ice and ocean,Carnivore,Unknown,Diurnal,Emperor Penguin,1.0,Antarctica,The world's largest species of penguin!,Bird,YellowBlackWhiteOrange,Feathers,15 mph,15 - 50 years,22kg - 45kg (49lbs - 99lbs),Unknown,3 - 8 years,Unknown,Unknown,"Southern Giant Petrol, Leopard Seal, Killer Whale",Unknown,100cm - 120cm (39in - 47in),Unknown,Unknown,Unknown,76cm - 89cm (30in - 35in),60 - 70 days,5 - 6 months,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0
Chickadee,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Paridae,Unknown,Unknown,Insects,Unknown,Unknown,43 million,Habitat loss,"""Cap"" of dark feathers on head","Tit, titmous",Unknown,Open woodland,Omnivore,Unknown,Unknown,Chickadee,7.0,North America,Unknown,Unknown,GreyBlackWhite,Feathers,12 mph,About 3 years,0.3 to 0.4 oz,About 3 inches,Unknown,Unknown,4 to 8,Birds of prey,Bird,About 2 inches,Unknown,Unknown,Unknown,6 to 8 inches (15 to 20 cm),12 days,Unknown,Unknown,Unknown,Unknown,Unknown,Tree Cavity,10 days,"Insects, seeds",Unknown,Unknown,1,0,0
Blue Tit,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,"Insects, spiders, fruits, and seeds",Unknown,Unknown,20-44 million pairs,Habitat loss,The bright blue crown and black eye stripe,Blue cap or blue bonnet,Unknown,"Woodlands, hedgerows, parks, and gardens",Omnivore,Unknown,Unknown,Blue Tit,3.0,"Europe, Asia, and Africa",Unknown,Unknown,GreyYellowBlueBlackWhite,Unknown,20 mph,Up to 10 years old,11g (0.4oz),Unknown,Unknown,Unknown,Unknown,"Cats, sparrowhawks, squirrels, and weasels",Bird,12cm (5in),Unknown,Unknown,Unknown,18cm (7in),16 days,Unknown,Unknown,Unknown,Unknown,Unknown,"Holes in trees, walls, or nest boxes",3 weeks,Unknown,Unknown,1.0,0,1,0
House Sparrow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,"Insects, spiders, worms, and seeds",Unknown,Unknown,900 million to 1.3 billion,Habitat loss,The black eye stripe and bib on the male,English sparrow,Unknown,"Agricultural, residential, and urban areas",Omnivore,Unknown,Unknown,House Sparrow,1.0,Worldwide,Unknown,Unknown,BrownBlackWhite,Unknown,28 mph,Up to 13 years,28g (1oz),Unknown,Unknown,Unknown,Unknown,"Hawks, falcons, owls, shrikes, cat, raccoons, and snakes",Bird,15-18cm (6-7in),Unknown,Unknown,Unknown,25cm (10in),11 days,Unknown,Unknown,Unknown,Unknown,Unknown,Buildings and trees,2 weeks,Unknown,Unknown,1.0,1,0,0
Robin,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Woodland, farmland and hedgerows",Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,There are more than 45 species in Australia alone!,Unknown,BrownWhiteOrange,Feathers,18 mph,1 - 3 years,16g - 22g (0.5oz - 0.7oz),12.5cm - 14cm (5in - 5.5in),Unknown,Unknown,Unknown,"Cats, Dogs, Raccoon, Foxes",Bird,Unknown,Small body size and bright red chest of males,Unknown,Unknown,Up to 16 inches,Two weeks,Unknown,4.0,"Worms, Insects, Fruit, Berries",Unknown,Unknown,Trees or shrubs,Two weeks,Worms,Unknown,1.0,1,0,0
African Penguin,"['Africa', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,Unknown,Rocky Ocean Islands,Carnivore,Unknown,Diurnal,African Penguin,1.0,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),Unknown,3 - 4 years,Unknown,Unknown,"Sharks, Fur Seals, Gulls",Unknown,60cm - 68cm (24in - 27in),Unknown,Unknown,Unknown,Unknown,40 days,3 - 5 months,2.0,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0
Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Unknown,Aptenodytes Forsteri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cold seas and rocky land,Omnivore,Unknown,Group,Unknown,Unkown,Unknown,Spends 75% of it's time hunting for food!,Unknown,GreyYellowBlackWhite,Feathers,40 mph,20 - 30 years,1kg - 35kg (2.2lbs - 75lbs),Unknown,Unknown,Unknown,Unknown,"Leopard Seals, Sharks, Killer Whale",Bird,40cm - 110cm (15.7in - 43in),"Short, sharp beak and slight webbed feet",Unknown,Unknown,60cm - 130cm (23.6in - 21in),Unknown,Unknown,1.0,"Fish, Crabs, Squid",Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,1,0,0
Elegant Tern,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus elegans,"Small fish, crustaceans",Unknown,Unknown,"51,000-90,000",Loss of food source,Black cap of feathers,Tern,Unknown,"Lagoons, rocky coastal areas",Carnivore,Unknown,Unknown,Tern,Unkown,"North America, South America",Unknown,Unknown,GreyBlackWhite,Feathers,24 mph,Up to 21 years,7-12 oz,15-17 inches,Unknown,Unknown,One to two eggs,"Foxes, dogs",Bird,Unknown,Unknown,Unknown,Unknown,43 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bare ground,Unknown,Unknown,Unknown,Unknown,1,0,0
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Unknown,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,Unknown,Unknown,Albatross,Unkown,The Southern Hemisphere and North Pacific,Unknown,Unknown,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,Unknown,1,"Humans, sharks, cats, and rats",Bird,Unknown,Unknown,Unknown,Unknown,Up to 3.3m (11ft),Unknown,3 to 10 months,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0
Magellanic Penguin,"['Ocean', 'South-America']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Antarctic islands,Carnivore,2,Flock,Unknown,Unkown,Unknown,Threatened by oil spills!,Unknown,BrownGreyBlackWhite,Feathers,22 mph,15 - 20 years,2.7kg - 6.5kg (5.9lbs - 14lbs),61cm - 76cm (24in - 30in),Unknown,Unknown,Unknown,"Sea Lion, Leopard Seal, Killer Whale",Bird,Unknown,Black beak and small wings,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Cuttlefish, Squid, Sardines",Unknown,Unknown,Unknown,Unknown,Cuttlefish,Unknown,Unknown,1,0,0
Uguisu,['Asia'],Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,Cettia diphone,"Insects, Worms, Berries",Chick,Solitary,Stable,Habitat loss,Has light-coloured lines above the eyes,"Japanese Bush-Warbler, Singing Bush-warbler, Oriental Bush-warbler",Unknown,lowlands and mountain forests,Omnivore,Unknown,Diurnal,Uguisu,1.0,"Japan, China, Korea",Their guano is used in face creams!,Bird,BrownGreenOlive,Feathers,18 mph,2 - 5 years,15g - 22g (0.5oz - 0.7oz),14cm - 16.5cm (5.5in - 6.5in),10 - 12 months,Unknown,Unknown,"Cats, Snakes, Birds Of Prey",Unknown,Unknown,Unknown,Unknown,Unknown,20cm - 22cm (7.9in - 9in),2 - 3 weeks,12 - 15 days,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0
